date,objectid,profession,entities_all,title,organization,place,place-original,gender,statement,chairman,name,affiliation,last-name,first-name,day,key,entities_unique,format
Aug-09-1983,aug-09-1983-cox-lafe,,Yellow Pine (CITY);Yellow Pine (CITY);Sage Crest (LANDFORM);Seven Devils Mountain (LANDFORM);Buffalo Hump (STREAM),"Cox, Lafe",,"Yellow Pine, Idaho","Yellow Pine, Idaho",m,"Mr. Cox. Senator McClure, I am Lafe Cox of Yellow Pine and I have lived there all of my life. I operate â€” my father started a dude ranch; 47 years we operated the dude ranch in Yellow Pine. We  helped build up the country. I have a mine. I helped pack the miners to all of the properties. In the early days, my father and I packed ore on packhorses until the mines were profitable before roads were ever built. Grazing, I grazed my livestock and everything on the national forest in there and on my own deeded property. The Forest Service in 1932 and 1933, we packed the lookouts. That&#39;s the only way we had to get the lookouts up there to protect the timber. And we packed 16- and 18-foot lumber on horses. In 1934 I started work for the Geological Survey. I worked for Geological Survey until 1938, on the Yellow Pine, Quadrangles, Sage Crest, the Seven Devils, and Buffalo Hump, which the maps are used today.",,LAFE COX,"YELLOW PINE, IDAHO",Cox,Lafe,h1d1,"cox, lafe",Yellow Pine (CITY); Sage Crest (LANDFORM); Seven Devils Mountain (LANDFORM); Buffalo Hump (STREAM),text
Aug-16-1983,aug-16-1983-suhr-dave,mining,Selway-Bitterroot Wilderness (WILDERNESS);Idaho Primitive Area (WILDERNESS);Salmon River Breaks Area (WILDERNESS);Sawtooth Primitive Area (WILDERNESS);Sawtooth (WILDERNESS);the Middle Fork (STREAM);Salmon River (STREAM);Wild River (STREAM);Sawtooth Wilderness Area (WILDERNESS);Sawtooth National Recreational Area (WILDERNESS);Hells Canyon (FOREST);Hump Wilderness (WILDERNESS);the St. Joe River (STREAM);River of No Return Wilderness (WILDERNESS);Magruder Corridor (LANDFORM),"Suhr, Dave","Asarco,",Wallace,"Wallace, Idaho",m,"Mr. Suhr. My name is Dave Suhr, and I am presenting this testimony on behalf of Mr. Stan Huff who has been a resident of Idaho  all his life, and has practiced as a professional geologist for Asarco  for nearly 28 years.  We, as many others, wish to see the RARE II process end, and  certainly do not want a RARE III.  We are all advocates of wilderness to some degree; but, first and  foremost, we must live in the real world where we are entirely dependent on the basic industries. Realization of this is the key to a  rational solution to the wilderness-development standoff.  We recognize the need for wilderness and the need for land to be  available for multiple use, but the piecemeal allocation of public  lands to virtually nonuse status is completely unacceptable.  Our record of stewardship in Idaho&#39;s public lands shows that our  piecemeal allocations began in 1931 by the setting aside the Idaho  In 1964, the Wilderness Act included 989,000 acres in the  Welway-Bitterrot Wilderness and designated a study for &#39;wilderness suitability&#39; the Idaho Primitive Area of 1.2 million acres, the  Salmon River Breaks Area of 217,000 acres, and the 200,000 acres  of the Sawtooth Primitive Area. The Sawtooth was later included     in the wilderness list.  In 1968, the Middle Fork of the Salmon River was designated a  Wild River.  In 1974, the Sawtooth Wilderness Area was included in the new  754,000-acre Sawtooth National Recreational Area, and was purposely enlarged to include an ASARCO mineral deposit.  In 1975, the forming of the Hells Canyon Wilderness and Recreation Area comprised 350,000 acres.  In 1977, 206,000 acres were placed in the Gospel Hump Wilderness.  In 1978, the St. Joe River was designated a Wild and Scenic  River.  In 1979, we added to the list the River of No Return Wilderness,  125 miles and Wild and Scenic River and the Magruder Corridor  consisting of 2,305,000 acres.  We may put an end to RARE II and not have a RARE III, but  the piecemeal process will continue.  Judging from our past track record and the fact that current  laws, rules, and regulations protect the public lands, we have to  recommendâ€”no more wilderness.  We thank you for this opportunity to express our views on the  subject.","Thank you. You got the bottom line very clear.

Mr. Booth, you indicated that you had talked to the geologists in

your company, and they had identified a number of other compa-

nies that were actively involved in or near proposed wilderness

areas?

Mr. Booth. Yes, sir.

155

The Chairman. Could you provide for the committee a descrip-

tion of the companies and the names of the companies, the nature

of their operations, and the location in which they are currently

operating?

Mr. Booth.Yes; I could do that.

The Chairman. Thank you very much.

I have no questions of the panel. Thank you very much for your

testimony.",DAVE SUHR,"ASARCO, WALLACE, IDAHO",Suhr,Dave,h2d1,"suhr, dave",Selway-Bitterroot Wilderness (WILDERNESS); Idaho Primitive Area (WILDERNESS); Salmon River Breaks Area (WILDERNESS); Sawtooth Primitive Area (WILDERNESS); Sawtooth (WILDERNESS); the Middle Fork (STREAM); Salmon River (STREAM); Wild River (STREAM); Sawtooth Wilderness Area (WILDERNESS); Sawtooth National Recreational Area (WILDERNESS); Hells Canyon (FOREST); Hump Wilderness (WILDERNESS); the St. Joe River (STREAM); River of No Return Wilderness (WILDERNESS); Magruder Corridor (LANDFORM),text
Aug-16-1983,aug-16-1983-canterbury-gordon,,Mallard-Larkins Pioneer Area (FOREST);Mallard-Larkins (WILDERNESS);Clearwater (STREAM);St. Joe (STREAM);Mallard-Larkins (WILDERNESS);Mallard-Larkins (WILDERNESS);Beaver Creek (STREAM);Bad Bear Peak (LANDFORM);Bathtub Mountain (LANDFORM);Pineapple Peak (LANDFORM);Forage Mountain (LANDFORM);Adair Creek (STREAM);Jug Camp (CAMPGROUND);Goat Mountain (LANDFORM);Crescendo Peak (LANDFORM);North Fork (STREAM);Clearwater River (STREAM),"Canterbury, Gordon",,Wallace,"Wallace, Idaho",m,"Mr. Canterbury. I wish to thank Senator McClure for this opportunity to present my views before the Senate Energy and National Resources Committee hearing.  I will confine my testimony to the Mallard-Larkins Pioneer area.  I have hunted, fished, hiked, and backpacked in this area since  1945. First witb my father and now with my son and nephew.  The Mallard-Larkins area has many unique qualities. It has an  extensive trail system and contains many beautiful mountain lakes  and clear running streams with excellent fishing. It is also the  backbone of both the Clearwater and St. Joe elk and deer herds as  the animals migrate from this area into adjacent areas. There are  many rocky peaks and bluffs that support one of the finest goat  herds in Idaho.  The ridges and draws in most of the Mallard-Larkins area contain many small, swampy areas and fern beds that are ideal as  calfing grounds and fall mating grounds for the elk herds. The soil  is very fragile in a large percentage of the Mallard-Larkin area.  The bulldozing and logging of this area would be very detrimental  as it would dry up most of the small, swampy areas thus killing out  the fern beds thereby severely impacting the wildlife by destroying  the calfing and fall mating grounds.     Any roads downhill from the ridges would cause excessive silting  of the streams and lakes due to the nature of the soils which are of  a very fine consistency therefore reducing the fisheries because of  the silting of the spawning beds in the streams.  I therefore recommend the Mallard-Larkin Pioneer area, approximately 200,000 acres, be included in the wilderness system including the areas from Beaver Creek to Bad Bear Peak, Junction  Point to Bathtub Mountain, Pineapple Peak across to Forage  Mountain down to Adair Creek then to the Gold Center Road to  Jug Camp on the Goat Mountain thence to Crescendo Peak to Getaway Point and then to the North Fork of the Clearwater River.  You would think that something could be worked out between  locking areas up in wilderness and developing an area&#39;s resources  with recklessness than leaving it, could be found. However, having  seen the future plans of the U.S. Forest Service for this area after  the RARE II studies and the lack of concern for wildlife and wildlife habitat, the penchant for clear cutting and excessive roading  with the stated object of putting in enough roads so this area would  never be considered for any type of wilderness at any time in the  future there is no choice but to consider this area be recommended  to be included into the Idaho wilderness system.  The language of any bill considered by this committee should be  as such that possibly various areas could be considered and possibly added to the wilderness system in the future.  Thank you.","Thank you very much. Mr. Schnider.

376",GORDON CANTERBURY,"WALLACE, IDAHO",Canterbury,Gordon,h2d1,"canterbury, gordon",Mallard-Larkins Pioneer Area (FOREST); Mallard-Larkins (WILDERNESS); Clearwater (STREAM); St. Joe (STREAM); Beaver Creek (STREAM); Bad Bear Peak (LANDFORM); Bathtub Mountain (LANDFORM); Pineapple Peak (LANDFORM); Forage Mountain (LANDFORM); Adair Creek (STREAM); Jug Camp (CAMPGROUND); Goat Mountain (LANDFORM); Crescendo Peak (LANDFORM); North Fork (STREAM); Clearwater River (STREAM),text
Aug-09-1983,aug-09-1983-quale-melvin-w,,Twin Falls (CITY);White Clouds (WILDERNESS);Sawtooth National Recreation Area (WILDERNESS);White Cloud Mountains (LANDFORM);Sawtooth National Recreation Area (WILDERNESS);White Clouds (WILDERNESS),"Quale, Melvin W.",,Twin Falls,"Twin Falls, Idaho",m,"Mr. Quale. My name is Mel Quale from Twin Falls. Because my hobby is trailbike riding, I&#39;ve spent over the past 20plus years a good amount of time riding the high country of our national forests. I&#39;m personally familiar with a fair amount of the  central and southern Idaho RARE II areas. I come to you, Senator McClure, Members of the Senate commit tee, and to the Congress with this plea: Don&#39;t classify as wilderness every high mountain lake, every smooth or rocky ridge, every meadow, every waterfall. Trailbike recreationists appreciate these treasures too. After all, I go to the national forests on my motorcy cle for a different form of the exact same experience the hiker     does.  Let&#39;s together find a way to carefully use and enjoy our national forests while protecting and enhancing their lasting values. There are alternatives to wilderness. A case in point: We have in the White Clouds under the Saw tooth National Recreation area what I call neowilderness. I prefer it because it protects the resource while allowing means to partici pate in recreation. There are several advantages to not designating additional wil derness within the SNRA. For example, a neowilderness bench mark; just as wilderness is purported to provide a bench mark, the White Clouds could serve as a neowilderness bench mark. And then one final comment: If it&#39;s not broke, don&#39;t fix it. Con gress frequently gets itself and the country into trouble by failing to leave decent legislation alone. The Sawtooth NRA, while per haps not perfect, is working. I urge Congress to make the decision not to designate more wilderness within the SNRA; 10 years of neowilderness has worked in the White Clouds. Let&#39;s leave well enough alone.  Thank you.",,MELVIN W. QUALE,"TWIN FALLS, IDAHO",Quale,Melvin W.,h1d1,"quale, melvin w.",Twin Falls (CITY); White Clouds (WILDERNESS); Sawtooth National Recreation Area (WILDERNESS); White Cloud Mountains (LANDFORM),text
Aug-17-1983,aug-17-1983-spencer-john,,Selway-Bitterroot (LANDFORM);Kelly and Cayuse Creek (STREAM);the Great Burn (WILDERNESS);Alpine (STREAM),"Spencer, John",,Troy,"Troy, Idaho",m,"Mr. Spencer. Senator McClure and committee members, I speak  as a resident of Idaho on my own views.     As a resident of Idaho, a taxpayer, a hunter and sportsman, I  vigorously oppose the opening of more roadless areas for economic  development.  Having resided in Idaho all my life, I have seen a lot of areas  logged or otherwise developed. Corporation giants go in and clearcut the land, then leave a few standing trees along a windy ridge  top to seed the clearcut. With the coming of the first windstorm,  these unprotected trees are blown down and no other seeding is  provided. The brush soon takes over, and it becomes impossible for  a new crop of trees to grow. The clearcut becomes useless. It is next  to impossible to hunt it, the timber companies especially on their  own land forbid anyone to cut firewood on it. And it soon become a  wasted area. Is this good resource management? If those clearcuts  were replanted and taken care of, a new crop of marketable timber  would be growing on some of them right now. Instead of doing that,  the timber companies are trying to push into our last remaining  roadless areas. Certainly, logging does help wildlife habitat to a  certain point. But after a few years the brush no longer provides  good browse. And it is even a loss when it concerns the game habitat.  I have worked as a guide and packer in the Selway-Bitterroot  area. So I know how nice it is not to have to fight those menacing  clearcuts. I have also hunted logged areas that have been some  good game producers.  Since the Selway-Bitterroot is the closest roadless area, I would  find it pleasing to know that somewhere closer there might be another roadless area to set aside for undisturbed hunting and recreation.  529  I have backpacked and seen some of these areas mentioned,  mainly the Kelly and Cayuse Creek drainages and the Great Burn  area. Some of this area is the finest game habitat I have seen. Disturbing it would greatly unbalance those game herds. Some of the  areas I have seen are high sub-Alpine areas with little or no trees.  Are we going to cut down the only one that might stand on those  high rocky crags?  As a taxpayer, I am equally angered by having to subsidize the  timber companies because the timber value in some of those areas  is low. Why not put some of that money to work hiring people to  help replant clearcuts that now could be profitable timber stands?  The Forest Service says that with their better erosion control  methods none of the trout streams will be damaged. It will only  take one heavy siltation to ruin them. And how do you protect a  freshly cut logging road from a high mountain cloudburst?  In much of this area that I have visited, I noticed a lot of roads  were beginning to have large iron gates on them with the words  &#39;Road Closed.&#39;",,JOHN SPENCER,"TROY, IDAHO",Spencer,John,h2d2,"spencer, john",Selway-Bitterroot (LANDFORM); Kelly and Cayuse Creek (STREAM); the Great Burn (WILDERNESS); Alpine (STREAM),text
Aug-17-1983,aug-17-1983-holmquist-antone,,Troy (CITY);Mallard-Larkins (WILDERNESS);Selway-Bitterroots (LANDFORM);Isabella Creek (STREAM),"Holmquist, Antone",,Troy,"Troy, Idaho",m,"Mr. Holmquist. Thank you, Senator. My name is Antone Holmquist. And I&#39;m from Troy. And I&#39;ve spent much time in the wild  and have worked two seasons for Canyon Ranger District, which  contains about half of the Mallard-Larkins area, an area comparable to the Selway-Bitterroots in scenic value, wildlife, fishing, and  hunting. There is ample elk, deer, bear, moose, badger, et cetera,  plus a very suitable population of mountain goats.  The Forest Service plans to extend the road up Isabela Creek to  log the drainages up to the Hemlock, which is unmarketable. Now,  I spent one summer surveying Canyon District roads for erosion, et  cetera. And I can assure you of the country being steep and the soil  being decomposed granite and unstable. But the new roads would  be just like the existing ones and would tend to slide down the  mountainside. We as taxpayers would pay for this road be it credits  to the timber companies.  The history of logging in this country is one of cutting old growth  and moving on. First, the hardwood forests of the east, then westward. And now what is left is steep and hard to get to. It wasn&#39;t  until post World War II housing boom that the Forest Service land  was sought. If we log these last remaining lands, we will soon be in  the same situation and left with nothing but rocks and snow.  722  Idaho needs to diversify its economy. The old growth timbers  should be replaced by an expanding pulp industry. The southeast  will be headquarters for saw logs. Wilderness provides long-term  for various industries including outfitters and sporting goods  stores. Hunting and fishing licenses add to the State economy. This  area will continue to grow. And we need more wilderness, not less.  I&#39;m in favor of the core areas proposal by the Idaho Conservation  League, et cetera. This is a moderate proposal to open up about  one-half of the de facto wildernesses to multiple use. The timber industry proposal to save only 9 percent of the last parcels of wilderness is a pittance compared to the total acreage of our great state.  Thank you.",Thank you. Rally Thurman?,ANTONE HOLMQUIST,"TROY, IDAHO",Holmquist,Antone,h2d2,"holmquist, antone",Troy (CITY); Mallard-Larkins (WILDERNESS); Selway-Bitterroots (LANDFORM); Isabella Creek (STREAM),text
Aug-11-1983,aug-11-1983-egbert-richard-a,,Garns Mountain (LANDFORM);Tetons (LANDFORM);Tetonia (CITY);Yellowstone Park (FOREST),"Egbert, Richard A.",,Tetonia,"Tetonia, Idaho",m,"Mr. Egbert. Thank you Senator McClure and Senator Symms. I appreciate this opportunity of being here and I appreciate your ef forts in trying to obtain a cross-section of the sentiment of the people of this great area. I would say to you that these areas, many of them that have been mentioned as possible wilderness areas, I have been riding over them as much as any other individual, maybe more than any individual that I know of in the entire east ern Idaho. I&#39;ve walked them since the turn of the century, or at least since 1915. I&#39;ve seen that under the management of the Forest Service these areas are improving. Actually, the Garns Mountain is in better condition this year than it was 20 years ago, or 30 years ago. The west slope of the Tetons is in better condition now, as far as vegetation, wild flowers, trees, et cetera, where the bugs have, for a bone of contention, have destroyed millions and millions of large bole pine. These large bole pine are tipped over, crossways and this ways, like that. It would be almost impossible for moun tain goats to get in to these areas where the down timber is, as far as a truck path. But I have a brief statement here; I gave some copies. I am Rich ard A. Egbert. I live in Tetonia, Idaho, I have lived there all my life; I was born there. I have more than a half century of experi ence farming and ranching in Idaho. I served 29 years as senator and represenative in the Idaho State Legislature. I have served on many boards and commissions deal ing with the management of public lands. I believe strongly in careful and reasonable use of our renewable resources. I believe that we must protect and preserve our beauti ful surroundings. I interject here, I don&#39;t believe wilderness desig nation will add one more beautiful cliff, one more beautiful tree, one more beautiful wild flower. However, this environment should  773  not be locked up for the enjoyment and benefit of a very small mi nority as the wilderness designation provides. The U.S. Forest Service is managing the public lands in a way that provides the most good for a large majority of the people. When wilderness area is created, 90 percent of my friends are locked out of that area because they are not able to walk long dis tances, are unable to ride horses, or don&#39;t have the money to buy or rent them. I ask you to consider what millions of people from all over the world would have lost if Yellowstone Park had been classified a wilderness area. Thank you very much.","The Chairman. Thank you, Senator Egbert. Elizabeth Udy.",RICHARD A. EGBERT,"TETONIA, IDAHO",Egbert,Richard A.,h1d2,"egbert, richard a.",Garns Mountain (LANDFORM); Tetons (LANDFORM); Tetonia (CITY); Yellowstone Park (FOREST),text
Aug-11-1983,aug-11-1983-siddoway-jeff,,Terreton (CITY);the Targhee National Forest (FOREST);United States (COUNTRY);Rauiey Creek (STREAM);Smokey Hollow (CAMPGROUND);Palisades (LANDFORM);Moose Creek (STREAM);Green Mountain (LANDFORM);Palisades Creek (STREAM);Elk Creek (STREAM);Moose Creek (STREAM);Siddoway Fork (STREAM);Pine Creek (STREAM);Mosquito Creek (STREAM);Dog Creek (STREAM);Game Creek (STREAM);Burbank (STREAM);Green Mountain (LANDFORM);Thousand Springs (STREAM);Western Slope (LANDFORM);Palisades (LANDFORM);Washington (STATE);Washington D.C. (CITY),"Siddoway, Jeff",,"Terreton, Idaho","Terreton, Idaho",m,"Mr. Siddoway. Senator McClure, Senator Symms, I&#39;m Jeff Siddoway, a sheep herder from Terreton. I&#39;m director of the Idaho Woolgrower Association and a director of the Sawtell Chapter of Outdoors Unlimited. I&#39;m chairman for the Grazing Advisory Board for the Targhee National Forest, all of which oppose any further wilderness for Idaho. I also believe we need no more wilderness in Idaho. I believe that those that advocate wilderness are a very self ish few who are against the whole productive mentality that has made the United States the best of all nations to live in, to work in, to vacation in. Those of us who are limited by either time or resources may still get to our Federal lands with a minimum of either to enjoy and learn from these lands. However, I believe a wilderness classification would revoke these privileges for many who desire to visit a specific location. I, too, am selfish and concerned for my neighbors as well as myself, Edberts, Tuckers, Engets, Davis, Phillips, Balls, Lairds, Nagles, McCulloch, and others who also graze sheep in these fur ther planning areas. We have all had sheep in these areas for gen erations. Siddoway sheep presently run 8,000 ewes with 12,500 lambs in these forest lands. We have fairly good access into Rauiey Creek and Smokey Hollow in Palisades. There are passable roads into Moose Creek, Phillips, and Green Mountain areas, which I use to supply our camps and check our sheep. In a wilderness situation, predator control is restricted, access is restricted, grazing would un doubtedly be restricted. Who knows how far or how many restric tions would eventually be imposed? To deviate here, it&#39;s also a nesting place for insects, pine needles, predators like the grizzly bear, and coyotes. Quite frankly, the sheep industry is in a very fragile state right now. Let&#39;s not let this wilderness deal be the straw that breaks the back of the sheepman. I need the Palisades Creek, Elk Creek, Moose Creek, Siddoway Fork, Pine Creek, Mosquito Creek, Dog Creek, Game Creek, Burbank, and Green Mountain, and Thousand Springs for my oper ation, while all my neighbors need equivalent land in the West Slope, Lionhead, and Palisades areas. As previously stated, we have had sheep in these mountains almost since the conception of the U.S. Forest Service. I&#39;m generation No. 4, and No. 5 is beginning to learn right now. I hope we don&#39;t rob them of the opportunity to harvest the renewable resource and convert it to both food and  775  fiber. This country was beautiful when I first entered it 26 years still basically the same, with the exception of the seis mic mineral exploration. I support the ultra-soft-release language. If I understand this re lease garbage, everything that isn&#39;t classified wilderness will be managed as wilderness. If it takes an act to get it out of wilderness, the least it should do is to take an act to get it into wilderness. So I respectfully ask Senator McClure to inform your colleagues in Washington, D.C., that Idaho needs no more wilderness. Thank  ago, and is  you.",,JEFF SIDDOWAY,"TERRETON, IDAHO",Siddoway,Jeff,h1d2,"siddoway, jeff",Terreton (CITY); the Targhee National Forest (FOREST); United States (COUNTRY); Rauiey Creek (STREAM); Smokey Hollow (CAMPGROUND); Palisades (LANDFORM); Moose Creek (STREAM); Green Mountain (LANDFORM); Palisades Creek (STREAM); Elk Creek (STREAM); Siddoway Fork (STREAM); Pine Creek (STREAM); Mosquito Creek (STREAM); Dog Creek (STREAM); Game Creek (STREAM); Burbank (STREAM); Thousand Springs (STREAM); Western Slope (LANDFORM); Washington (STATE); Washington D.C. (CITY),text
Aug-09-1983,aug-09-1983-sorensen-carole-king,,White Clouds (WILDERNESS);Challis (CITY);Challis (CITY);Kellogg (CITY),"Sorensen, Carole King",,Stanley,"Stanley, Idaho",f,"Mrs. King. Thank you, Senator. Senator McClure, I have some questions for you to think about. How are you going to explain to your grandchildren what a wil derness was? Do the people of Idaho have any chance at all against  the corporations who want to exploit us and our resources? ASARCO, a corporation that wants to strip mine in the White Clouds, is a defendant in litigation brought by average citizens such as farmers, native Americans and over a thousand of ASARCO&#39;s own employees, all of whom claimed damage to their lives and health by ASARCO. But people apparently matter little to the company.  In fact, lawyers for such corporate interests have misrepresented  constitutional rights lawsuit in an attempt to gain acccess through my yard not for the public, but for the large corporate in terests the lawyers actually represent. Corporations promise jobs and minimum negative impact. Cyprus Mine and Bunker Hill show how these promises are not kept. Challis has over 200 empty houses, a high crime rate and other social problems the city&#39;s fathers and mothers never antici pated. And the future of Cyprus Mine is still uncertain. I know, be cause Challis is the county seat where I live. Kellogg and the surrounding communities up north are devastat ed. Corporations use employment as a leverage against the people of Idaho. Many are afraid to speak out. But so many of us want this wilderness, and we have a hard time being heard. Today we are fortunate. But don&#39;t forget, wilderness brings income from tour ists, a continuing renewable resource with relatively little impact on the environment. I&#39;m an Idahoan by choice. Idaho&#39;s environment and people have given me inspiration, sustenance and the courage to stand up for what I believe is right. The original spirit of &#39;76 is symbolized and embraced by our wilderness. We must preserve that wilderness, and that spirit along with it. We have our grandkids to answer to. my  Thank you.",,CAROLE KING SORENSEN,"STANLEY, IDAHO",Sorensen,Carole King,h1d1,"sorensen, carole king",White Clouds (WILDERNESS); Challis (CITY); Kellogg (CITY),text
Aug-09-1983,aug-09-1983-sorensen-rick,,the United States (COUNTRY);the United States (COUNTRY);Thompson Creek (STREAM);Salmon River (STREAM);White Clouds (WILDERNESS);California (STATE);Castle Peak (LANDFORM),"Sorensen, Rick",,Stanley,"Stanley, Idaho",m,"Mr. Sorensen. Thank you for this time to speak. I think it&#39;s obvious by now that a large majority of the people of Idaho and the United States want and need more wilderness. What little we have is heavily used. What we don&#39;t have cannot be in stalled later. There will be more people and more wilderness use. What there won&#39;t be more of is places that qualify for designation     as wilderness. It can&#39;t be manufactured or produced. All we can do at this point is save what little wilderness has escaped development  and exploitation. Although there are a number of disguises for the opposition, they all boil down to one thing: the corporate bottom line. Molybdenum strip mines in Idaho&#39;s back country are not in the interest of the people of Idaho or the United States. Moly is worth about as much as dirt right now, and the oversupply of it will not diminish for at least a couple hundred years. There is a very small class of people in this country whose inter ests would be served by such mines; the people who own the oil companies. Cyprus Mine up Thompson Creek on the Salmon River is owned by Amoco Minerals, which is owned by Amoco Oil, which is owned by Standard Oil of Indiana, which is fairly hard to find out unless you know where to look. ASARCO Mining, which has large moly claims in the White Clouds up the creek from our ranch, is owned primarily by Stand ard Oil of California. What interest would an oil company have in developing a very expensive mining operation for a worthless substance? In a word, taxes.  What a lot of people don&#39;t realize is that a strip mine such as Cyprus, or the proposed Castle Peak removal, is basically a way for an oil company to rechannel profits made elsewhere back into their own department of exploration, research and development, not to mention",,RICK SORENSEN,"STANLEY, IDAHO",Sorensen,Rick,h1d1,"sorensen, rick",the United States (COUNTRY); Thompson Creek (STREAM); Salmon River (STREAM); White Clouds (WILDERNESS); California (STATE); Castle Peak (LANDFORM),text
