location,count,link
"long canyon (landform)",188,"https://thecdil.github.io/wilderness-hearings/browse.html#long%20canyon%20(landform)"
"boise",90,"https://thecdil.github.io/wilderness-hearings/browse.html#boise"
"boise (city)",81,"https://thecdil.github.io/wilderness-hearings/browse.html#boise%20(city)"
"mallard-larkins (wilderness)",76,"https://thecdil.github.io/wilderness-hearings/browse.html#mallard-larkins%20(wilderness)"
"idaho (state)",71,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20(state)"
"kelly creek (stream)",70,"https://thecdil.github.io/wilderness-hearings/browse.html#kelly%20creek%20(stream)"
"boundary county (county)",66,"https://thecdil.github.io/wilderness-hearings/browse.html#boundary%20county%20(county)"
"coeur d&#39",66,"https://thecdil.github.io/wilderness-hearings/browse.html#coeur%20d&%2339"
"united states (country)",64,"https://thecdil.github.io/wilderness-hearings/browse.html#united%20states%20(country)"
"palisades (landform)",54,"https://thecdil.github.io/wilderness-hearings/browse.html#palisades%20(landform)"
"salmo-priest (wilderness)",46,"https://thecdil.github.io/wilderness-hearings/browse.html#salmo-priest%20(wilderness)"
"salmon (stream)",44,"https://thecdil.github.io/wilderness-hearings/browse.html#salmon%20(stream)"
"selkirk crest (landform)",43,"https://thecdil.github.io/wilderness-hearings/browse.html#selkirk%20crest%20(landform)"
"the selkirk crest (landform)",43,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20selkirk%20crest%20(landform)"
"bonners ferry",41,"https://thecdil.github.io/wilderness-hearings/browse.html#bonners%20ferry"
"white clouds (wilderness)",39,"https://thecdil.github.io/wilderness-hearings/browse.html#white%20clouds%20(wilderness)"
"america (country)",38,"https://thecdil.github.io/wilderness-hearings/browse.html#america%20(country)"
"bonners ferry (city)",35,"https://thecdil.github.io/wilderness-hearings/browse.html#bonners%20ferry%20(city)"
"creek (stream)",35,"https://thecdil.github.io/wilderness-hearings/browse.html#creek%20(stream)"
"alene (city)",35,"https://thecdil.github.io/wilderness-hearings/browse.html#alene%20(city)"
"salmon river (stream)",35,"https://thecdil.github.io/wilderness-hearings/browse.html#salmon%20river%20(stream)"
"cayuse creek (stream)",33,"https://thecdil.github.io/wilderness-hearings/browse.html#cayuse%20creek%20(stream)"
"washington (state)",33,"https://thecdil.github.io/wilderness-hearings/browse.html#washington%20(state)"
"borah peak (landform)",33,"https://thecdil.github.io/wilderness-hearings/browse.html#borah%20peak%20(landform)"
"garns mountain (landform)",32,"https://thecdil.github.io/wilderness-hearings/browse.html#garns%20mountain%20(landform)"
"idaho falls",30,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20falls"
"montana (state)",29,"https://thecdil.github.io/wilderness-hearings/browse.html#montana%20(state)"
"alene",28,"https://thecdil.github.io/wilderness-hearings/browse.html#alene"
"sawtooth (wilderness)",27,"https://thecdil.github.io/wilderness-hearings/browse.html#sawtooth%20(wilderness)"
"alaska (state)",26,"https://thecdil.github.io/wilderness-hearings/browse.html#alaska%20(state)"
"moscow",26,"https://thecdil.github.io/wilderness-hearings/browse.html#moscow"
"jersey jack (wilderness)",22,"https://thecdil.github.io/wilderness-hearings/browse.html#jersey%20jack%20(wilderness)"
"orofino (city)",20,"https://thecdil.github.io/wilderness-hearings/browse.html#orofino%20(city)"
"south fork (stream)",20,"https://thecdil.github.io/wilderness-hearings/browse.html#south%20fork%20(stream)"
"california (state)",20,"https://thecdil.github.io/wilderness-hearings/browse.html#california%20(state)"
"moscow (city)",20,"https://thecdil.github.io/wilderness-hearings/browse.html#moscow%20(city)"
"idaho falls (city)",19,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20falls%20(city)"
"wilderness (wilderness)",18,"https://thecdil.github.io/wilderness-hearings/browse.html#wilderness%20(wilderness)"
"lewiston (city)",18,"https://thecdil.github.io/wilderness-hearings/browse.html#lewiston%20(city)"
"challis (city)",17,"https://thecdil.github.io/wilderness-hearings/browse.html#challis%20(city)"
"oregon (state)",17,"https://thecdil.github.io/wilderness-hearings/browse.html#oregon%20(state)"
"earth (planet)",16,"https://thecdil.github.io/wilderness-hearings/browse.html#earth%20(planet)"
"lewiston",16,"https://thecdil.github.io/wilderness-hearings/browse.html#lewiston"
"wyoming (state)",16,"https://thecdil.github.io/wilderness-hearings/browse.html#wyoming%20(state)"
"elk city (city)",16,"https://thecdil.github.io/wilderness-hearings/browse.html#elk%20city%20(city)"
"pocatello (city)",16,"https://thecdil.github.io/wilderness-hearings/browse.html#pocatello%20(city)"
"sandpoint",15,"https://thecdil.github.io/wilderness-hearings/browse.html#sandpoint"
"lemhis (wilderness)",15,"https://thecdil.github.io/wilderness-hearings/browse.html#lemhis%20(wilderness)"
"selkirk (landform)",15,"https://thecdil.github.io/wilderness-hearings/browse.html#selkirk%20(landform)"
"white cloud mountains (landform)",15,"https://thecdil.github.io/wilderness-hearings/browse.html#white%20cloud%20mountains%20(landform)"
"scotchman (landform)",15,"https://thecdil.github.io/wilderness-hearings/browse.html#scotchman%20(landform)"
"sandpoint (city)",14,"https://thecdil.github.io/wilderness-hearings/browse.html#sandpoint%20(city)"
"bear creek (stream)",13,"https://thecdil.github.io/wilderness-hearings/browse.html#bear%20creek%20(stream)"
"idaho county (county)",13,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20county%20(county)"
"northern lemhis (landform)",13,"https://thecdil.github.io/wilderness-hearings/browse.html#northern%20lemhis%20(landform)"
"white cloud-boulder mountain (landform)",13,"https://thecdil.github.io/wilderness-hearings/browse.html#white%20cloud-boulder%20mountain%20(landform)"
"sawtooths (landform)",13,"https://thecdil.github.io/wilderness-hearings/browse.html#sawtooths%20(landform)"
"grangeville (city)",12,"https://thecdil.github.io/wilderness-hearings/browse.html#grangeville%20(city)"
"ketchum",12,"https://thecdil.github.io/wilderness-hearings/browse.html#ketchum"
"utah (state)",12,"https://thecdil.github.io/wilderness-hearings/browse.html#utah%20(state)"
"the payette crest (landform)",12,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20payette%20crest%20(landform)"
"washington d.c. (city)",11,"https://thecdil.github.io/wilderness-hearings/browse.html#washington%20d.c.%20(city)"
"blaine county (county)",11,"https://thecdil.github.io/wilderness-hearings/browse.html#blaine%20county%20(county)"
"mount naomi (landform)",11,"https://thecdil.github.io/wilderness-hearings/browse.html#mount%20naomi%20(landform)"
"rapid river (stream)",10,"https://thecdil.github.io/wilderness-hearings/browse.html#rapid%20river%20(stream)"
"u.s. (country)",10,"https://thecdil.github.io/wilderness-hearings/browse.html#u.s.%20(country)"
"fish creek (stream)",10,"https://thecdil.github.io/wilderness-hearings/browse.html#fish%20creek%20(stream)"
"boulder mountains (landform)",10,"https://thecdil.github.io/wilderness-hearings/browse.html#boulder%20mountains%20(landform)"
