subject,count,link
"forestry",53,"https://thecdil.github.io/wilderness-hearings/browse.html#forestry"
"conservationist",34,"https://thecdil.github.io/wilderness-hearings/browse.html#conservationist"
"elected official",24,"https://thecdil.github.io/wilderness-hearings/browse.html#elected%20official"
"sportspeople",22,"https://thecdil.github.io/wilderness-hearings/browse.html#sportspeople"
"oil and gas",16,"https://thecdil.github.io/wilderness-hearings/browse.html#oil%20and%20gas"
"mining",12,"https://thecdil.github.io/wilderness-hearings/browse.html#mining"
"agriculture",10,"https://thecdil.github.io/wilderness-hearings/browse.html#agriculture"
"education",7,"https://thecdil.github.io/wilderness-hearings/browse.html#education"
"agency",6,"https://thecdil.github.io/wilderness-hearings/browse.html#agency"
"women in timber",5,"https://thecdil.github.io/wilderness-hearings/browse.html#women%20in%20timber"
"idaho conservation league",5,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20conservation%20league"
"executive director, idaho forest industry council",3,"https://thecdil.github.io/wilderness-hearings/browse.html#executive%20director,%20idaho%20forest%20industry%20council"
"construction",3,"https://thecdil.github.io/wilderness-hearings/browse.html#construction"
"chamber of commerce",3,"https://thecdil.github.io/wilderness-hearings/browse.html#chamber%20of%20commerce"
"state senator,",2,"https://thecdil.github.io/wilderness-hearings/browse.html#state%20senator,"
"state representative,",2,"https://thecdil.github.io/wilderness-hearings/browse.html#state%20representative,"
"commissioner,",2,"https://thecdil.github.io/wilderness-hearings/browse.html#commissioner,"
"acting mayor,",2,"https://thecdil.github.io/wilderness-hearings/browse.html#acting%20mayor,"
"associated logging contractors",2,"https://thecdil.github.io/wilderness-hearings/browse.html#associated%20logging%20contractors"
"a u.s. representative from the state of idaho",2,"https://thecdil.github.io/wilderness-hearings/browse.html#a%20u.s.%20representative%20from%20the%20state%20of%20idaho"
"acting executive director, inland forest resource council",2,"https://thecdil.github.io/wilderness-hearings/browse.html#acting%20executive%20director,%20inland%20forest%20resource%20council"
"executive director, idaho petroleum council",2,"https://thecdil.github.io/wilderness-hearings/browse.html#executive%20director,%20idaho%20petroleum%20council"
"idaho state senator",2,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20state%20senator"
"edwards investments",2,"https://thecdil.github.io/wilderness-hearings/browse.html#edwards%20investments"
"louisiana-pacific corp",2,"https://thecdil.github.io/wilderness-hearings/browse.html#louisiana-pacific%20corp"
"executive director, northwest mining association",2,"https://thecdil.github.io/wilderness-hearings/browse.html#executive%20director,%20northwest%20mining%20association"
"salmon river breaks association, inc",2,"https://thecdil.github.io/wilderness-hearings/browse.html#salmon%20river%20breaks%20association,%20inc"
"political group",2,"https://thecdil.github.io/wilderness-hearings/browse.html#political%20group"
"tribal",2,"https://thecdil.github.io/wilderness-hearings/browse.html#tribal"
"asarco,",1,"https://thecdil.github.io/wilderness-hearings/browse.html#asarco,"
"st. joe valley association",1,"https://thecdil.github.io/wilderness-hearings/browse.html#st.%20joe%20valley%20association"
"president, bonner county senior council",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20bonner%20county%20senior%20council"
"chairman, panhandle environmental league,",1,"https://thecdil.github.io/wilderness-hearings/browse.html#chairman,%20panhandle%20environmental%20league,"
"whitman county sportsmen&#39",1,"https://thecdil.github.io/wilderness-hearings/browse.html#whitman%20county%20sportsmen&%2339"
"s association,",1,"https://thecdil.github.io/wilderness-hearings/browse.html#s%20association,"
